2022-09-30 03:45:49,506 p=711107 u=root n=ansible | Using /root/ansible/ansible.cfg as config file
2022-09-30 03:45:49,690 p=711107 u=root n=ansible | PLAY [etcd01,etcd02,etcd03] ************************************************************************
2022-09-30 03:45:49,700 p=711107 u=root n=ansible | TASK [kubelet : Create CNI plugins config dir] *****************************************************
2022-09-30 03:45:50,179 p=711107 u=root n=ansible | changed: [etcd02] => {"ansible_facts": {"discovered_interpreter_python": "/usr/bin/python3"}, "changed": true, "gid": 0, "group": "root", "mode": "01204", "owner": "root", "path": "/etc/cni/net.d", "size": 4096, "state": "directory", "uid": 0}
2022-09-30 03:45:50,180 p=711107 u=root n=ansible | changed: [etcd03] => {"ansible_facts": {"discovered_interpreter_python": "/usr/bin/python3"}, "changed": true, "gid": 0, "group": "root", "mode": "01204", "owner": "root", "path": "/etc/cni/net.d", "size": 4096, "state": "directory", "uid": 0}
2022-09-30 03:45:50,184 p=711107 u=root n=ansible | changed: [etcd01] => {"ansible_facts": {"discovered_interpreter_python": "/usr/bin/python3"}, "changed": true, "gid": 0, "group": "root", "mode": "01204", "owner": "root", "path": "/etc/cni/net.d", "size": 4096, "state": "directory", "uid": 0}
2022-09-30 03:45:50,187 p=711107 u=root n=ansible | TASK [kubelet : Copy mynet cni plugin config] ******************************************************
2022-09-30 03:45:50,639 p=711107 u=root n=ansible | changed: [etcd03] => {"changed": true, "checksum": "0baef96e65a05afd82c487f0d3a35833da66fb09", "dest": "/etc/cni/net.d/10-mynet.conf", "gid": 0, "group": "root", "md5sum": "b39634c066c86b39c5062be96a51f6da", "mode": "0644", "owner": "root", "size": 250, "src": "/root/.ansible/tmp/ansible-tmp-1664498750.2131073-711188-41382131176454/source", "state": "file", "uid": 0}
2022-09-30 03:45:50,643 p=711107 u=root n=ansible | changed: [etcd02] => {"changed": true, "checksum": "0baef96e65a05afd82c487f0d3a35833da66fb09", "dest": "/etc/cni/net.d/10-mynet.conf", "gid": 0, "group": "root", "md5sum": "b39634c066c86b39c5062be96a51f6da", "mode": "0644", "owner": "root", "size": 250, "src": "/root/.ansible/tmp/ansible-tmp-1664498750.2096875-711186-80824729561903/source", "state": "file", "uid": 0}
2022-09-30 03:45:50,691 p=711107 u=root n=ansible | ok: [etcd01] => {"changed": false, "checksum": "0baef96e65a05afd82c487f0d3a35833da66fb09", "dest": "/etc/cni/net.d/10-mynet.conf", "gid": 0, "group": "root", "mode": "0644", "owner": "root", "path": "/etc/cni/net.d/10-mynet.conf", "size": 250, "state": "file", "uid": 0}
2022-09-30 03:45:50,694 p=711107 u=root n=ansible | TASK [kubelet : Copy loopback cni plugin config] ***************************************************
